Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
1978,Thunderstorm Wind in COLORADO,COLORADO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in MARYLAND,MARYLAND,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in ARKANSAS,ARKANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in COLORADO,COLORADO,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in COLORADO,COLORADO,Tornado,0,2500,0,NOAA Storm Events,No,0
1978,Hail in MICHIGAN,MICHIGAN,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in MONTANA,MONTANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in MONTANA,MONTANA,Tornado,0,0,0,NOAA Storm Events,No,0
1978,Tornado in MISSOURI,MISSOURI,Tornado,0,2500,0,NOAA Storm Events,No,0
1978,Hail in NEW YORK,NEW YORK,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in NEW YORK,NEW YORK,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1978,Thunderstorm Wind in NEW YORK,NEW YORK,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in ARIZONA,ARIZONA,Tornado,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in ARIZONA,ARIZONA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in NEW HAMPSHIRE,NEW HAMPSHIRE,Tornado,0,250,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in NEW HAMPSHIRE,NEW HAMPSHIRE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in NEW HAMPSHIRE,NEW HAMPSHIRE,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in PENNSYLVANIA,PENNSYLVANIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in PENNSYLVANIA,PENNSYLVANIA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in MAINE,MAINE,Tornado,0,250,0,NOAA Storm Events,No,0
1978,Hail in MAINE,MAINE,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in MAINE,MAINE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in CONNECTICUT,CONNECTICUT,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in DELAWARE,DELAWARE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in ARIZONA,ARIZONA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in FLORIDA,FLORIDA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in KANSAS,KANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in KANSAS,KANSAS,Tornado,0,250000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in CALIFORNIA,CALIFORNIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in CALIFORNIA,CALIFORNIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in INDIANA,INDIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in GEORGIA,GEORGIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in GEORGIA,GEORGIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in ILLINOIS,ILLINOIS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in UTAH,UTAH,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in INDIANA,INDIANA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in LOUISIANA,LOUISIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in LOUISIANA,LOUISIANA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in KENTUCKY,KENTUCKY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in KENTUCKY,KENTUCKY,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in KENTUCKY,KENTUCKY,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Tornado in LOUISIANA,LOUISIANA,Tornado,0,0,0,NOAA Storm Events,No,0
1978,Hail in FLORIDA,FLORIDA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in OREGON,OREGON,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in OREGON,OREGON,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Tornado in WYOMING,WYOMING,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in WYOMING,WYOMING,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in ILLINOIS,ILLINOIS,Tornado,0,250000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in WISCONSIN,WISCONSIN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in UTAH,UTAH,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in TENNESSEE,TENNESSEE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in TENNESSEE,TENNESSEE,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in TENNESSEE,TENNESSEE,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1978,Tornado in WASHINGTON,WASHINGTON,Tornado,0,0,0,NOAA Storm Events,No,0
1978,Hail in IDAHO,IDAHO,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in WISCONSIN,WISCONSIN,Tornado,0,0,0,NOAA Storm Events,No,0
1978,Hail in WISCONSIN,WISCONSIN,Hail,0,0,0,NOAA Storm Events,No,0
1978,Hail in VIRGINIA,VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in VIRGINIA,VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in VIRGINIA,VIRGINIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in VERMONT,VERMONT,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in WEST VIRGINIA,WEST VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Hail in WEST VIRGINIA,WEST VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1978,Tornado in WEST VIRGINIA,WEST VIRGINIA,Tornado,0,30,0,NOAA Storm Events,No,0
1978,Tornado in IDAHO,IDAHO,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1978,Thunderstorm Wind in IDAHO,IDAHO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1978,Tornado in HAWAII,HAWAII,Tornado,0,250,0,NOAA Storm Events,No,0
1978,Thunderstorm Wind in WASHINGTON,WASHINGTON,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in COLORADO,COLORADO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in COLORADO,COLORADO,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in ARKANSAS,ARKANSAS,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEBRASKA,NEBRASKA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEW MEXICO,NEW MEXICO,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in MARYLAND,MARYLAND,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NEW MEXICO,NEW MEXICO,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MISSISSIPPI,MISSISSIPPI,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in MISSISSIPPI,MISSISSIPPI,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MINNESOTA,MINNESOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in MINNESOTA,MINNESOTA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in ALABAMA,ALABAMA,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in ALABAMA,ALABAMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in OHIO,OHIO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NORTH CAROLINA,NORTH CAROLINA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in FLORIDA,FLORIDA,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Hail in INDIANA,INDIANA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in IOWA,IOWA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in OKLAHOMA,OKLAHOMA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in OKLAHOMA,OKLAHOMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in KANSAS,KANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in OKLAHOMA,OKLAHOMA,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in KENTUCKY,KENTUCKY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in MISSOURI,MISSOURI,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MICHIGAN,MICHIGAN,Tornado,0,2500,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in ILLINOIS,ILLINOIS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in IOWA,IOWA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in INDIANA,INDIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in TEXAS,TEXAS,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Hail in TEXAS,TEXAS,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in TEXAS,TEXAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in GEORGIA,GEORGIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in VERMONT,VERMONT,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEW JERSEY,NEW JERSEY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEW JERSEY,NEW JERSEY,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NEW JERSEY,NEW JERSEY,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEBRASKA,NEBRASKA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in NORTH DAKOTA,NORTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NORTH DAKOTA,NORTH DAKOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEW YORK,NEW YORK,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEVADA,NEVADA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEVADA,NEVADA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NEVADA,NEVADA,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NORTH CAROLINA,NORTH CAROLINA,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Tornado in NORTH DAKOTA,NORTH DAKOTA,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEW YORK,NEW YORK,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NEW YORK,NEW YORK,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MICHIGAN,MICHIGAN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in NEBRASKA,NEBRASKA,Tornado,0,2500,0,NOAA Storm Events,No,0
1979,Hail in MICHIGAN,MICHIGAN,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEW MEXICO,NEW MEXICO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in SOUTH DAKOTA,SOUTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in SOUTH CAROLINA,SOUTH CAROLINA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in SOUTH CAROLINA,SOUTH CAROLINA,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1979,Hail in SOUTH CAROLINA,SOUTH CAROLINA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MASSACHUSETTS,MASSACHUSETTS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in SOUTH DAKOTA,SOUTH DAKOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in SOUTH DAKOTA,SOUTH DAKOTA,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Hail in MASSACHUSETTS,MASSACHUSETTS,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MASSACHUSETTS,MASSACHUSETTS,Tornado,2,2500000,0,NOAA Storm Events,Yes,0
1979,Thunderstorm Wind in PENNSYLVANIA,PENNSYLVANIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in PENNSYLVANIA,PENNSYLVANIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Hail in PENNSYLVANIA,PENNSYLVANIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in LOUISIANA,LOUISIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in NORTH CAROLINA,NORTH CAROLINA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MISSOURI,MISSOURI,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MINNESOTA,MINNESOTA,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Tornado in OHIO,OHIO,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Hail in OHIO,OHIO,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MONTANA,MONTANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MARYLAND,MARYLAND,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1979,Thunderstorm Wind in ARKANSAS,ARKANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in MONTANA,MONTANA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MONTANA,MONTANA,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Tornado in MISSISSIPPI,MISSISSIPPI,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1979,Thunderstorm Wind in MARYLAND,MARYLAND,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in ALABAMA,ALABAMA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in COLORADO,COLORADO,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Tornado in ARKANSAS,ARKANSAS,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in NEW HAMPSHIRE,NEW HAMPSHIRE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in NEW HAMPSHIRE,NEW HAMPSHIRE,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in ARIZONA,ARIZONA,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Tornado in MISSOURI,MISSOURI,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in DELAWARE,DELAWARE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in MAINE,MAINE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in CONNECTICUT,CONNECTICUT,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in CONNECTICUT,CONNECTICUT,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in CONNECTICUT,CONNECTICUT,Tornado,3,250000000,0,NOAA Storm Events,Yes,0
1979,Hail in DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in ARIZONA,ARIZONA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in ARIZONA,ARIZONA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in DELAWARE,DELAWARE,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in FLORIDA,FLORIDA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in KANSAS,KANSAS,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in KANSAS,KANSAS,Tornado,0,2500,0,NOAA Storm Events,No,0
1979,Tornado in IOWA,IOWA,Tornado,0,250,0,NOAA Storm Events,No,0
1979,Hail in KENTUCKY,KENTUCKY,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in LOUISIANA,LOUISIANA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in VIRGINIA,VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in VIRGINIA,VIRGINIA,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1979,Hail in VIRGINIA,VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in UTAH,UTAH,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in UTAH,UTAH,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in GEORGIA,GEORGIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in KENTUCKY,KENTUCKY,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in IDAHO,IDAHO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in GEORGIA,GEORGIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Hail in FLORIDA,FLORIDA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in RHODE ISLAND,RHODE ISLAND,Hail,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in RHODE ISLAND,RHODE ISLAND,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in TENNESSEE,TENNESSEE,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in TENNESSEE,TENNESSEE,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in TENNESSEE,TENNESSEE,Tornado,2,25000,0,NOAA Storm Events,No,0
1979,Tornado in LOUISIANA,LOUISIANA,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in WYOMING,WYOMING,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in WYOMING,WYOMING,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in WISCONSIN,WISCONSIN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Tornado in WISCONSIN,WISCONSIN,Tornado,0,250000,0,NOAA Storm Events,No,0
1979,Hail in WISCONSIN,WISCONSIN,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in WYOMING,WYOMING,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in CALIFORNIA,CALIFORNIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in WASHINGTON,WASHINGTON,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Tornado in WEST VIRGINIA,WEST VIRGINIA,Tornado,0,2500,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in WEST VIRGINIA,WEST VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1979,Hail in WEST VIRGINIA,WEST VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1979,Hail in VERMONT,VERMONT,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in INDIANA,INDIANA,Tornado,0,0,0,NOAA Storm Events,No,0
1979,Tornado in ILLINOIS,ILLINOIS,Tornado,0,25000,0,NOAA Storm Events,No,0
1979,Hail in ILLINOIS,ILLINOIS,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in IDAHO,IDAHO,Tornado,0,30,0,NOAA Storm Events,No,0
1979,Hail in IDAHO,IDAHO,Hail,0,0,0,NOAA Storm Events,No,0
1979,Tornado in CALIFORNIA,CALIFORNIA,Tornado,0,30,0,NOAA Storm Events,No,0
1979,Thunderstorm Wind in CALIFORNIA,CALIFORNIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hurricane Allen,Caribbean,Tropical Cyclone,269,1.1,0.1,NOAA,Yes,0
1980,Hail in LOUISIANA,LOUISIANA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in NEBRASKA,NEBRASKA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in NEBRASKA,NEBRASKA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in MINNESOTA,MINNESOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in ALABAMA,ALABAMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in ALABAMA,ALABAMA,Tornado,0,25000,0,NOAA Storm Events,No,0
1980,Hail in NEW YORK,NEW YORK,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in MISSOURI,MISSOURI,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in MISSOURI,MISSOURI,Tornado,0,250000,0,NOAA Storm Events,No,0
1980,Hail in MINNESOTA,MINNESOTA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in ALABAMA,ALABAMA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in MISSOURI,MISSOURI,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in MONTANA,MONTANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in INDIANA,INDIANA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in GEORGIA,GEORGIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in KANSAS,KANSAS,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in PENNSYLVANIA,PENNSYLVANIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in OHIO,OHIO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in OKLAHOMA,OKLAHOMA,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1980,Thunderstorm Wind in FLORIDA,FLORIDA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in ILLINOIS,ILLINOIS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in FLORIDA,FLORIDA,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1980,Thunderstorm Wind in NORTH CAROLINA,NORTH CAROLINA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in NORTH DAKOTA,NORTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in OHIO,OHIO,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in SOUTH DAKOTA,SOUTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Hail in IOWA,IOWA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in KANSAS,KANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in INDIANA,INDIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in SOUTH DAKOTA,SOUTH DAKOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in OKLAHOMA,OKLAHOMA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in MASSACHUSETTS,MASSACHUSETTS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in LOUISIANA,LOUISIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in SOUTH CAROLINA,SOUTH CAROLINA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in MICHIGAN,MICHIGAN,Tornado,0,250,0,NOAA Storm Events,No,0
1980,Hail in MICHIGAN,MICHIGAN,Hail,0,0,0,NOAA Storm Events,No,0
1980,Tornado in GEORGIA,GEORGIA,Tornado,0,25000,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in IOWA,IOWA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in INDIANA,INDIANA,Tornado,0,0,0,NOAA Storm Events,No,0
1980,Hail in TEXAS,TEXAS,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in TEXAS,TEXAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in TEXAS,TEXAS,Tornado,0,250,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in KENTUCKY,KENTUCKY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in WEST VIRGINIA,WEST VIRGINIA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in WISCONSIN,WISCONSIN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in WEST VIRGINIA,WEST VIRGINIA,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1980,Thunderstorm Wind in VIRGINIA,VIRGINIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Hail in WISCONSIN,WISCONSIN,Hail,0,0,0,NOAA Storm Events,No,0
1980,Tornado in NEW JERSEY,NEW JERSEY,Tornado,0,25000,0,NOAA Storm Events,No,0
1980,Hail in NEW JERSEY,NEW JERSEY,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in NEW JERSEY,NEW JERSEY,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in MICHIGAN,MICHIGAN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in NEW YORK,NEW YORK,Tornado,0,2500,0,NOAA Storm Events,No,0
1980,Hail in PENNSYLVANIA,PENNSYLVANIA,Hail,0,0,0,NOAA Storm Events,No,0
1980,Thunderstorm Wind in OKLAHOMA,OKLAHOMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1980,Tornado in LOUISIANA,LOUISIANA,Tornado,0,250000,0,NOAA Storm Events,No,0
1980,Tornado in SOUTH DAKOTA,SOUTH DAKOTA,Tornado,0,0,0,NOAA Storm Events,No,0
